sequence,date,type,annotationScore,suggestedTreatment,packetPages,actualConversationPacketPages,title,topTopics,topAuthorities,pddReferences,publicPapers,sourceCopyControls,supportLeads,notetaker,interpreter,dateTimePlace,annotationPrompt,pdfUrl
"75","1999-04-25","Telcon","215","Heavy annotation review","453-465","453-464","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","Kosovo / Balkans (48); NATO / European Security (12); Economic Reform / Assistance (7)","Yeltsin (34); Chernomyrdin (32); Gore (29); Milosevic (27); NATO (12); Talbott (6)","1","0","1","1","George Chastain, Doug Bailey, Frank Jarosinski, Joel Schrader, Andrew Weiss","Yuriy Shkeyrov,","April 25, 1999, 10:35 - 11:58 a.m. EDT, NATO Summit Trip Building","Issue context: Kosovo / Balkans, NATO / European Security, Economic Reform / Assistance. Authority checks: Yeltsin, Chernomyrdin, Gore, Milosevic, NATO, Talbott. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf"
"31","1995-05-10","Memcon","195","Heavy annotation review","171-187","171-186","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","NATO / European Security (67); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","NATO (41); Gore (12); Yeltsin (11); Chernomyrdin (8); Kozyrev (3); G-7 (2)","1","7","0","1","","","10:10 a.m. - 1:19 p.m.","Issue context: NATO / European Security, Iraq / Middle East, Ukraine / Nuclear Security. Authority checks: NATO, Gore, Yeltsin, Chernomyrdin, Kozyrev, G-7. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf"
"49","1997-03-21","Memcon","190","Heavy annotation review","292-303","292-302","Helsinki Morning Meeting with President Boris Yeltsin","NATO / European Security (46); Arms Control / Nonproliferation (43); Ukraine / Nuclear Security (12)","NATO (38); Yeltsin (17); Primakov (7); Albright (3); Berger (1); Talbott (1)","0","8","1","2","","","March 21, 1997, 9:50-11:55 a.m. The Finnish President's Residence, Helsinki","Issue context: NATO / European Security, Arms Control / Nonproliferation, Ukraine / Nuclear Security. Authority checks: NATO, Yeltsin, Primakov, Albright, Berger, Talbott. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf"
"25","1994-09-27","Memcon","146","Heavy annotation review","134-144","134-143","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","Ukraine / Nuclear Security (43); Arms Control / Nonproliferation (42); Iraq / Middle East (3)","Yeltsin (31); Christopher (7); Kozyrev (6); Gore (1); Milosevic (1)","0","4","1","1","","","September 27, 1994; 4:35-5:35pm Cabinet Room DECLASSIFIED PER E.0.13526 •CONFIDENTIAL- Declassify on: OADR 3/iyi.ol8 K6H","Issue context: Ukraine / Nuclear Security, Arms Control / Nonproliferation, Iraq / Middle East. Authority checks: Yeltsin, Christopher, Kozyrev, Gore, Milosevic. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf"
"82","1999-06-20","Memcon","142","Heavy annotation review","494-503","494-502","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","Arms Control / Nonproliferation (38); Kosovo / Balkans (13); Economic Reform / Assistance (7)","Yeltsin (41); Ivanov (10); UN (6); Gore (5); Albright (3); Talbott (3)","1","5","1","0","Carlos Pascual","Peter Afanasenko","June 20, 1999, 1:00 - 2:00 p.m. Renaissance Hotel (Russians Host), Cologne, Germany","Issue context: Arms Control / Nonproliferation, Kosovo / Balkans, Economic Reform / Assistance. Authority checks: Yeltsin, Ivanov, UN, Gore, Albright, Talbott. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf"
"4","1993-04-04","Memcon","132","Heavy annotation review","19-31","19-30","Meeting with Russian President Boris Yeltsin on Security Issues","Ukraine / Nuclear Security (18); Economic Reform / Assistance (17); Iraq / Middle East (15)","Yeltsin (61); G-7 (5); Christopher (4); Kozyrev (3); Chernomyrdin (1); Gore (1)","0","3","0","0","Assistant to the President for National Security Affairs Daniel Poneman, Senior Director for Nonproliferation, NSC Staff","","April 4, 1993, 10:00 a.m. to 1:00 p.m. Pan Pacific Hotel, Vancouver, Canada","Issue context: Ukraine / Nuclear Security, Economic Reform / Assistance, Iraq / Middle East. Authority checks: Yeltsin, G-7, Christopher, Kozyrev, Chernomyrdin, Gore. Compare same-day/nearby Public Papers for public framing.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf"
"15","1994-01-13","Memcon","127","Heavy annotation review","80-90","80-90","President's dinner with President Yeltsin, January 13/14, 1994","Iraq / Middle East (20); NATO / European Security (9); Ukraine / Nuclear Security (9)","Yeltsin (62); NATO (6); Kozyrev (4); Chernomyrdin (2); Gore (2); Christopher (1)","0","4","0","2","","","January 13/14, 1994, Nova Ogareva, outside Moscow (source item date January 13; cable subject says January 14)","Issue context: Iraq / Middle East, NATO / European Security, Ukraine / Nuclear Security. Authority checks: Yeltsin, NATO, Kozyrev, Chernomyrdin, Gore, Christopher. Compare same-day/nearby Public Papers for public framing.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf"
"53","1997-05-27","Memcon","117","Heavy annotation review","325-333","325-332","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","NATO / European Security (29); Arms Control / Nonproliferation (10); Iraq / Middle East (7)","Yeltsin (31); Primakov (11); NATO (10); Albright (6); Berger (4); Talbott (4)","0","1","1","0","Assistant to the President for National Security Affairs Strobe Talbott, Deputy Secretary of State Steve Pifer, NSC staff","","May 27, 1997, 5:00-5:55 p.m. The American Ambassador's Residence, Paris","Issue context: NATO / European Security, Arms Control / Nonproliferation, Iraq / Middle East. Authority checks: Yeltsin, Primakov, NATO, Albright, Berger, Talbott. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf"
"17","1994-01-14","Memcon","112","Heavy annotation review","94-101","94-101","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","Arms Control / Nonproliferation (30); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","Yeltsin (20); Chernomyrdin (2); Christopher (1); Gore (1); Kozyrev (1); Talbott (1)","1","6","2","2","Director for Russia, Ukraine and Eurasia Affairs, NSC Staff","","January 14, 1994, 9:35 - 11:15 a.m. St. Catherine's Hall, The Kremlin","Issue context: Arms Control / Nonproliferation, Iraq / Middle East, Ukraine / Nuclear Security. Authority checks: Yeltsin, Chernomyrdin, Christopher, Gore, Kozyrev, Talbott. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf"
"54","1997-06-20","Memcon","105","Heavy annotation review","334-342","334-341","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","NATO / European Security (14); Iraq / Middle East (13); Arms Control / Nonproliferation (11)","Yeltsin (31); Primakov (7); Albright (5); NATO (4); UN (4); Berger (3)","0","5","1","0","Ambassador for the NIS Steve Pifer, Senior Director, NSC","","June 20, 1997, 1:05-2:05 p.m. The Gold Room, The Brown Palace, Denver (The meeting opened with ten minutes of press pool sprays.) ■SECR-S-I^ Classified by: Glyn T. Davies DECLASSIFIED Reason: 1.5 (d) PER E.0.13526 lP- cOJty^DoS -IW-I Declassify on: X6 6/20/17 o5f'Xh/'i£>\l»","Issue context: NATO / European Security, Iraq / Middle East, Arms Control / Nonproliferation. Authority checks: Yeltsin, Primakov, Albright, NATO, UN, Berger. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf"
