key,type,priority,documentCount,totalHits,firstDate,lastDate,role,annotationNote,topDocuments
"Economic Reform / Assistance","Issue","Core issue","60","352","1993-01-23","1999-06-20","Russian reform, assistance packages, IMF support, loans, ruble policy, privatization, and G-7 coordination.","Use to identify documents requiring economic-assistance annotations or Public Papers cross-checks.","#14 1994-01-13 One-on-One Meeting with President Boris Yeltsin of Russia (28 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf>; #13 1993-12-22 Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House (19 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf>; #3 1993-04-03 Working Dinner with President Boris Yeltsin (18 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf>; #4 1993-04-04 Meeting with Russian President Boris Yeltsin on Security Issues (17 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf>; #8 1993-06-28 Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House (17 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf>; #42 1996-04-21 Luncheon Meeting with Russian President Boris Yeltsin (17 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf>; #64 1998-05-28 Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House (15 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf>; #72 1998-12-30 Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House (15 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf>"
"Russian Politics / Elections","Issue","Core issue","57","244","1993-04-03","1999-12-31","Russian domestic politics, elections, Duma, Communists, opposition, democracy, and constitutional crisis.","High annotation value for 1993 constitutional crisis and 1996 election documents.","#37 1996-01-26 Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House (15 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf>; #14 1994-01-13 One-on-One Meeting with President Boris Yeltsin of Russia (11 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf>; #42 1996-04-21 Luncheon Meeting with Russian President Boris Yeltsin (11 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf>; #38 1996-02-21 Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House (10 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf>; #43 1996-05-07 Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House (10 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf>; #67 1998-07-10 Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House (10 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf>; #39 1996-03-13 Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt (9 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf>; #68 1998-08-14 Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House (9 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf>"
"Arms Control / Nonproliferation","Issue","Core issue","52","428","1993-01-23","1999-12-31","START, ABM, CFE, missile defense, nonproliferation, and weapons control.","Expect cross-references to arms-control volumes and treaty documentation.","#49 1997-03-21 Helsinki Morning Meeting with President Boris Yeltsin (43 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf>; #25 1994-09-27 Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House (42 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf>; #82 1999-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany (38 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf>; #17 1994-01-14 Second Expanded Bilateral Session with President Boris Yeltsin of Russia (30 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf>; #55 1997-10-30 Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House (21 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf>; #83 1999-09-08 Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House (19 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf>; #61 1998-05-12 Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House (13 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf>; #31 1995-05-10 Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia (12 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf>"
"NATO / European Security","Issue","Core issue","44","401","1993-01-23","1999-06-20","NATO enlargement, Partnership for Peace, NATO-Russia security architecture, and summit diplomacy.","Likely needs editorial framing where the document is selected for the NATO-Russia pressure line.","#31 1995-05-10 Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia (67 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf>; #49 1997-03-21 Helsinki Morning Meeting with President Boris Yeltsin (46 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf>; #53 1997-05-27 Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France (29 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf>; #35 1995-10-23 Clinton-Yeltsin One-on-One (21 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf>; #32 1995-06-17 Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada (18 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf>; #30 1995-04-27 Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House (16 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf>; #48 1997-02-27 Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House (16 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf>; #51 1997-03-21 Helsinki Afternoon Meeting with President Boris Yeltsin (14 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf>"
"Iraq / Middle East","Issue","Core issue","43","284","1993-01-23","1999-12-31","Iraq, Saddam Hussein, sanctions, Iran, Jordan, and Middle East diplomacy.","Use to flag documents that may require cross-volume Middle East/Iraq coordination.","#28 1994-10-10 Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House (22 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf>; #15 1994-01-13 President's dinner with President Yeltsin, January 13/14, 1994 (20 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf>; #17 1994-01-14 Second Expanded Bilateral Session with President Boris Yeltsin of Russia (17 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf>; #22 1994-06-13 Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House (17 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf>; #31 1995-05-10 Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia (17 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf>; #4 1993-04-04 Meeting with Russian President Boris Yeltsin on Security Issues (15 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf>; #52 1997-03-21 Helsinki Private Dinner with President Boris Yeltsin (15 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf>; #58 1998-02-02 Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House (15 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf>"
"Ukraine / Nuclear Security","Issue","Core issue","42","303","1993-01-23","1999-11-19","Ukraine, Kravchuk, trilateral nuclear arrangements, and Budapest security assurances.","Annotate treaty/security-assurance context where nuclear transfer or Ukraine status drives the exchange.","#25 1994-09-27 Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House (43 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf>; #16 1994-01-14 Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues (29 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf>; #4 1993-04-04 Meeting with Russian President Boris Yeltsin on Security Issues (18 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf>; #9 1993-07-10 Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan (17 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf>; #17 1994-01-14 Second Expanded Bilateral Session with President Boris Yeltsin of Russia (16 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf>; #31 1995-05-10 Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia (16 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf>; #13 1993-12-22 Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House (14 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf>; #10 1993-09-07 Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House (12 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf>"
"Kosovo / Balkans","Issue","Core issue","33","309","1993-01-23","1999-09-08","Bosnia, Kosovo, Serbia/Yugoslavia, Contact Group, KFOR, and Milosevic diplomacy.","Use for document-selection clustering and for editorial notes on Balkan diplomacy.","#75 1999-04-25 Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C. (48 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf>; #74 1999-04-19 Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House (33 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf>; #65 1998-06-15 Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House (25 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf>; #80 1999-06-13 Telephone call with President Boris Yeltsin of Russia, June 13, 1999, White House (24 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-13-telcon-75.pdf>; #71 1998-10-05 Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House (22 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf>; #73 1999-03-24 Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House (18 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf>; #24 1994-09-27 Clinton-Yeltsin one-on-one memcon, September 27, 1994 (16 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf>; #33 1995-07-28 Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House (13 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf>"
"Yeltsin","Person","High","85","1481","1993-01-23","1999-12-31","Boris N. Yeltsin; President of the Russian Federation through December 31, 1999.","Usually central to volume scope; use sparingly except for former-President references or status transitions.","#15 1994-01-13 President's dinner with President Yeltsin, January 13/14, 1994 (62 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf>; #4 1993-04-04 Meeting with Russian President Boris Yeltsin on Security Issues (61 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf>; #9 1993-07-10 Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan (48 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf>; #3 1993-04-03 Working Dinner with President Boris Yeltsin (41 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf>; #82 1999-06-20 Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany (41 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf>; #75 1999-04-25 Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C. (34 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf>; #25 1994-09-27 Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House (31 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf>; #52 1997-03-21 Helsinki Private Dinner with President Boris Yeltsin (31 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf>"
"Chernomyrdin","Person","High","38","137","1993-04-03","1999-06-10","Viktor S. Chernomyrdin; Chairman of the Russian Government and Gore-Chernomyrdin Commission co-chair.","Often needs an annotation when the Gore-Chernomyrdin channel or Kosovo mediation is central.","#75 1999-04-25 Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C. (32 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf>; #31 1995-05-10 Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia (8 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf>; #76 1999-05-02 Telephone call with President Boris Yeltsin of Russia, May 2, 1999, White House (8 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-05-02-telcon-71.pdf>; #27 1994-10-05 Telephone call with President Boris Yeltsin, October 5, 1994, White House (7 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf>; #74 1999-04-19 Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House (6 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf>; #78 1999-06-08 Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House (5 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf>; #10 1993-09-07 Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf>; #32 1995-06-17 Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada (4 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf>"
"NATO","Organization","High","36","267","1993-02-10","1999-06-20","North Atlantic Treaty Organization.","Annotate only when the document turns on enlargement, Partnership for Peace, Bosnia, Kosovo, or NATO-Russia structures.","#31 1995-05-10 Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia (41 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf>; #49 1997-03-21 Helsinki Morning Meeting with President Boris Yeltsin (38 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf>; #35 1995-10-23 Clinton-Yeltsin One-on-One (18 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf>; #30 1995-04-27 Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House (14 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf>; #32 1995-06-17 Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada (13 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf>; #75 1999-04-25 Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C. (12 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf>; #26 1994-09-28 Second Clinton/Yeltsin One-on-One (11 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf>; #74 1999-04-19 Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House (11 hits) <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf>"
