priority,workstream,sequence,date,type,selectionTier,selectionScore,pages,title,action,why,blockingIssue,sourceNoteStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,annotationTreatment,readinessBucket,dominantIssues,packetPages,sourcePdfPages,derivativePdfUrl,sourcePacketUrl,reportLinks
"P0","Hard source follow-up","3","1993-04-01","Telcon","Hard source gap","","","Telephone call with President Boris Yeltsin of Russia, April 1, 1993, Portland, Oregon","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","No released conversation pages located; William J. Clinton Presidential Library / NSC Records Management Office PRS Files, NAID 7585721, MDR 2015-0782-M-1","Pending source problem: no derivative PDF generated because no released April 1, 1993 telcon pages were located after rechecking the Clinton Library chronology and digital collection, Google Drive, NARA Scout/Catalog, and National Security Archive. Do not substitute the nearby Vancouver summit memcons, 930401 preview cable, or April 26 telcon.","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","No released April 1 telcon pages located in 2015-0782-M-1","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","hard-source-gap-packet.html; compiler-start-here.html"
"P0","Hard source follow-up","23","1994-06-03","Telcon","Hard source gap","","","Telephone call with President Boris Yeltsin of Russia, June 3, 1994, Rome, Italy","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","Marker/withdrawal only; William J. Clinton Presidential Library / NSC Records Management Office PRS Files, NAID 7585721, MDR 2015-0782-M-1","Pending source problem: no derivative PDF generated because the source packet contains marker/withdrawal/profile pages only, not released June 3, 1994 telcon text; later Clinton Library, Google Drive, NARA Scout/Catalog, and NSA searches found confirmation/context only.","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","Marker/withdrawal packet pages 187-190 only; no released telcon pages","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","hard-source-gap-packet.html; compiler-start-here.html"
"P0","Hard source follow-up","26","1994-07-10","Memcon","Hard source gap","","","Meeting with President Boris Yeltsin of Russia, July 10, 1994, Naples Italy","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","No released conversation pages located; William J. Clinton Presidential Library / NSC Records Management Office PRS Files, NAID 7585721, MDR 2015-0782-M-1","Pending source problem: no derivative PDF generated because no released July 10, 1994 Naples memcon pages were located in the reviewed Clinton Library packet, Clinton Digital Library/public-record searches, Google Drive, NARA Scout/Catalog, or National Security Archive postings; pages 213-219 have been reassigned to the September 27, 1994 one-on-one memcon.","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","No released July 10, 1994 Naples memcon pages located in 2015-0782-M-1","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","hard-source-gap-packet.html; compiler-start-here.html"
"P0","Hard source follow-up","73","1998-09-01","Memcon","Hard source gap","","","Meetings with President Boris Yeltsin of Russia, September 1-2, 1998, Moscow, Russia","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","No released conversation pages located; William J. Clinton Presidential Library / NSC Records Management Office PRS Files, NAID 7585721, MDR 2015-0782-M-2","Pending source problem: no derivative PDF generated because no released September 1-2, 1998 Moscow memcon pages were located in the reviewed MDR packet, Google Drive search, Clinton Digital Library trip-book/audio/toast releases, NARA Scout/Catalog searches, or National Security Archive postings.","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","No released September 1-2, 1998 Moscow memcon pages located in 2015-0782-M-2","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","hard-source-gap-packet.html; compiler-start-here.html"
"P0","Hard source follow-up","77","1999-02-08","Memcon","Hard source gap","","","Meeting with President Boris Yeltsin of Russia, February 8, 1999, Amman, Jordan","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","No released conversation pages located; William J. Clinton Presidential Library / NSC Records Management Office PRS Files, NAID 7585721, MDR 2015-0782-M-2","Pending source problem: no derivative PDF generated because no released February 8, 1999 Amman memcon pages were located; public White House reporting confirms only a brief interaction, not an available conversation record.","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","No released February 8, 1999 Amman memcon pages located in 2015-0782-M-2","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","hard-source-gap-packet.html; compiler-start-here.html"
"P0","Hard source follow-up","91","2000-06-05","Memcon","Hard source gap","","","Meeting with former President Boris Yeltsin of Russia, June 5, 2000, Moscow, Russia","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","Leader chronology lead only; William J. Clinton Presidential Library, Meetings and Telephone Calls with Foreign Leaders chronology and related NSC/RMO trip or leader-call files","Pending source problem: no derivative PDF generated because no released June 5, 2000 former President Yeltsin memcon pages were located in the leader chronology follow-up, Google Drive, Clinton Digital Library trip release, NARA Scout/Catalog, or National Security Archive searches.","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","Leader chronology lead only; no released memcon PDF located","","https://www.clintonlibrary.gov/sites/default/files/documents/clinton-foreign-meetings.pdf","hard-source-gap-packet.html; compiler-start-here.html"
"P0","Draft spine closeout","5","1993-04-04","Memcon","Tier 1 - likely core","132","12","Meeting with Russian President Boris Yeltsin on Security Issues","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, face-page fields, heavy annotation review.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Ukraine / Nuclear Security (18); Economic Reform / Assistance (17); Iraq / Middle East (15)","19-31","19-30","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P0","Draft spine closeout","10","1993-07-10","Memcon","Tier 1 - likely core","100","9","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, heavy annotation review.","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Ukraine / Nuclear Security (17); Iraq / Middle East (7); Economic Reform / Assistance (4)","46-55","81-89","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P0","Draft spine closeout","16","1994-01-13","Memcon","Tier 1 - likely core","127","11","President's dinner with President Yeltsin, January 13/14, 1994","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, face-page fields, heavy annotation review.","","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Ready to read; source-note review","Iraq / Middle East (20); NATO / European Security (9); Ukraine / Nuclear Security (9)","80-90","1-11","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf","https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
"P0","Draft spine closeout","18","1994-01-14","Memcon","Tier 1 - likely core","112","8","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.","Draft spine document; Core Tier 1 likely FRUS document; close source-note review, heavy annotation review.","","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Arms Control / Nonproliferation (30); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","94-101","State FOIA document C06694502, conversation pages 1-8","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view","draft-selection-spine.html; source-note-element-audit.html; face-page-metadata.html"
