sequence,date,type,status,actualConversationPages,title,corePdfUrl,sourcePacketUrl,sourcePdfPages,readingPacketPages,actualConversationPacketPages,markerPage,pddReferences,publicStatementsSameDay,publicStatementsNearby,sourceCopies,strobeContext,naraSupport,frusSourceNote,compilerAction
"1","1993-01-23","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","9-11","1-4","1-3","1","10:30; 10:45-11:17 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 29 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-001-001-2018.pdf>","","","1NxhemfjqE_hcdqHtQKlLDBumnl1Mbz7K: 930123 Clinton Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1NxhemfjqE_hcdqHtQKlLDBumnl1Mbz7K/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9300052, Original OA/ID 139, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"2","1993-02-10","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","19-21","5-8","5-7","14","","","","15AYs4fgvbYNfhuAAJ96QewfB7HktZ2gb: 930210 Clinton Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/15AYs4fgvbYNfhuAAJ96QewfB7HktZ2gb/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 140, Folder Title/Record ID 9300488, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"3","1993-04-01","Telcon","pending extent","","Telephone call with President Boris Yeltsin of Russia, April 1, 1993, Portland, Oregon","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","No released April 1 telcon pages located in 2015-0782-M-1","","","","9:04-9:36 The President talked on a conference line with Boris N. Yeltsin. pp. 9 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-001-006-2018.pdf>","","1993-04-03 (+2 days) Exchange With Reporters With President Boris Yeltsin of Russia in Vancouver [p. 392] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg392.pdf>","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Hard source gap: locate released actual conversation text before counting or extracting a derivative PDF. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact."
"3","1993-04-03","Memcon","counted","9","Working Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","9-17","9-18","9-17","2","","1993-04-03 (same day) Exchange With Reporters With President Boris Yeltsin of Russia in Vancouver [p. 392] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg392.pdf>; 1993-04-03 (same day) Remarks and an Exchange With Reporters in Vancouver, Canada [pp. 391-392] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg391.pdf>","1993-04-04 (+1 days) The President's News Conference With President Boris Yeltsin of Russia in Vancouver [pp. 393-401] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg393.pdf>","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact."
"4","1993-04-04","Memcon","counted","12","Meeting with Russian President Boris Yeltsin on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","19-30","19-31","19-30","2","","1993-04-04 (same day) The President's News Conference With President Boris Yeltsin of Russia in Vancouver [pp. 393-401] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg393.pdf>; 1993-04-04 (same day) Question-and-Answer Session With Russian Reporters in Vancouver [pp. 401-403] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg401.pdf>","1993-04-03 (-1 days) Exchange With Reporters With President Boris Yeltsin of Russia in Vancouver [p. 392] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg392.pdf>","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact."
"5","1993-04-26","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, April 26, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-26-telcon-05.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","51-52","32-34","32-33","45","1:35; 1:50-1:59 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 85-86 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-001-007-2018.pdf>","1993-04-26 (same day) Remarks on the Election in Russia and an Exchange With Reporters [pp. 512-514] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg512.pdf>","","1EgHtw2tYu5lakv8QZX3dd519uhZZ_7kF: 930426 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1EgHtw2tYu5lakv8QZX3dd519uhZZ_7kF/view>","1993-04-28 (+2 days) Proposed Message to President Yeltsin <https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000054/C09000054.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 147, Folder Title/Record ID 9302835, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"6","1993-05-02","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, May 2, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-02-telcon-06.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","60-61","35-37","35-36","55","8:25; 8:42-8:51 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 5 <https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/3675/17367502/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-003-2015.pdf>","1993-05-02 (same day) Statement on the Prospects for Peace in Bosnia [pp. 551-552] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg551-2.pdf>","","1I6JITyg6F8GGaL-udA_mJywVtIwZ4fIU: 930502 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1I6JITyg6F8GGaL-udA_mJywVtIwZ4fIU/view>","1993-04-28 (-4 days) Proposed Message to President Yeltsin <https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000054/C09000054.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303034, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"7","1993-05-10","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","68-69","38-40","38-39","63","8:12-8:19 The President talked on a conference call with Boris N. Yeltsin. pp. 76 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-001-008-2018.pdf>","","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303261, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence."
"8","1993-06-28","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","76-79","41-45","41-44","71","12:52; 1:05-1:33 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 118 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-002-003-2018.pdf>","1993-06-28 (same day) Statement by the Press Secretary on the President's Telephone Conversation With President Boris Yeltsin of Russia [p. 941] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg941.pdf>","","1fonmBkzM0qhOUmDP74PVYmQYEBrQGpq2: 930628 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1fonmBkzM0qhOUmDP74PVYmQYEBrQGpq2/view>","","1993-06-29 (+1 days) Talking points for congressional leaders on Tokyo G-7 meetings with Yeltsin <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/systematic/2015-0183-S/42-t-7585721-20150183S-001-035-2016.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 152, Folder Title/Record ID 9304871, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"9","1993-07-10","Memcon","counted","9","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","81-89","46-55","46-54","80","","1993-07-10 (same day) The President's News Conference with President Boris Yeltsin of Russia in Tokyo [pp. 1046-1048] <https://www.govinfo.gov/content/pkg/PPP-1993-book1/pdf/PPP-1993-book1-doc-pg1046-2.pdf>","","1oLH4zCmIub-kgvXXs0wZDGELWehL9Pqh: 930710 Clinton and Yeltsin in Tokyo memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1oLH4zCmIub-kgvXXs0wZDGELWehL9Pqh/view>; C09000001: Memon with President Boris Yeltsin of Russia w/Attached Cover Sheet (Strobe FOIA cable copy of the July 10, 1993 Clinton-Yeltsin Tokyo memcon; cover sheet excluded.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2023/FL-2017-13804/DOC_0C09000001/C09000001.pdf>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9305178, Original OA/ID 153, Mandatory Declassification Review 2014-0996-M, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
