sequence,date,type,selectionTier,selectionScore,actualConversationPages,phaseLabel,title,selectionReasons,dominantIssues,annotationTreatment,readinessBucket,sourceNoteStatus,facePageStatus,pddReferences,publicPapers,sourceCopyControls,supportLeads,pdfUrl,sourcePacketUrl
"4","1993-04-03","Memcon","Tier 2 - strong candidate","92","9","Opening channel, Vancouver, and Tokyo","Working Dinner with President Boris Yeltsin","Tier 2 representative for Russian Politics / Elections","Economic Reform / Assistance (18); Arms Control / Nonproliferation (4); Russian Politics / Elections (3)","Heavy annotation review","Ready to read; source-note review","Needs source-note review","Review fields","0","3","0","0","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf"
"5","1993-04-04","Memcon","Tier 1 - likely core","132","12","Opening channel, Vancouver, and Tokyo","Meeting with Russian President Boris Yeltsin on Security Issues","Core Tier 1 likely FRUS document","Ukraine / Nuclear Security (18); Economic Reform / Assistance (17); Iraq / Middle East (15)","Heavy annotation review","Ready to read; source-note review","Needs source-note review","Review fields","0","3","0","0","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf"
"10","1993-07-10","Memcon","Tier 1 - likely core","100","9","Opening channel, Vancouver, and Tokyo","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","Core Tier 1 likely FRUS document","Ukraine / Nuclear Security (17); Iraq / Middle East (7); Economic Reform / Assistance (4)","Heavy annotation review","Ready to read; source-note review","Needs source-note review","Parsed","0","1","2","0","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"16","1994-01-13","Memcon","Tier 1 - likely core","127","11","Ukraine, Partnership for Peace, and the 1994 balance","President's dinner with President Yeltsin, January 13/14, 1994","Core Tier 1 likely FRUS document","Iraq / Middle East (20); NATO / European Security (9); Ukraine / Nuclear Security (9)","Heavy annotation review","Ready to read; source-note review","Needs source-note review","Review fields","0","4","0","2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf","https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf"
"18","1994-01-14","Memcon","Tier 1 - likely core","112","8","Ukraine, Partnership for Peace, and the 1994 balance","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","Core Tier 1 likely FRUS document","Arms Control / Nonproliferation (30); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","Heavy annotation review","Ready to read; source-note review","Needs source-note review","Parsed","1","6","2","2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view"
"28","1994-09-27","Memcon","Tier 1 - likely core","146","10","Ukraine, Partnership for Peace, and the 1994 balance","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","Core Tier 1 likely FRUS document","Ukraine / Nuclear Security (43); Arms Control / Nonproliferation (42); Iraq / Middle East (3)","Heavy annotation review","Ready to read; source-note review","Needs source-note review","Parsed","0","4","1","1","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"34","1995-05-10","Memcon","Tier 1 - likely core","195","16","1995 summits, reform assistance, and NATO pressure","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","Core Tier 1 likely FRUS document","NATO / European Security (67); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","Heavy annotation review","Ready to read; source-note review","Needs source-note review","Review fields","1","7","0","1","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"35","1995-06-17","Memcon","Tier 2 - strong candidate","76","8","1995 summits, reform assistance, and NATO pressure","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","Tier 2 representative for Chechnya / Caucasus","NATO / European Security (18); Ukraine / Nuclear Security (9); Chechnya / Caucasus (8)","Heavy annotation review","Ready to read; source-note review","Needs source-note review","Review fields","0","1","1","3","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html"
"38","1995-10-23","Memcon","Tier 2 - strong candidate","97","12","1995 summits, reform assistance, and NATO pressure","Clinton-Yeltsin One-on-One","Phase-balance anchor: 1995 summits, reform assistance, and NATO pressure has one Tier 1 document","NATO / European Security (21); Ukraine / Nuclear Security (7); Arms Control / Nonproliferation (5)","Heavy annotation review","Ready to read; source-note review","Needs source-note review","Review fields","0","2","1","5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf"
"45","1996-04-21","Memcon","Tier 2 - strong candidate","79","7","1996 election and enlargement management","Luncheon Meeting with Russian President Boris Yeltsin","Phase-continuity anchor: 1996 election and enlargement management has no Tier 1 document","Economic Reform / Assistance (17); Russian Politics / Elections (11); Arms Control / Nonproliferation (3)","Heavy annotation review","Ready for selection reading","Parsed face-page fields available","Parsed","0","4","1","1","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
