sequence,includeInVolume,proposedDocumentNumber,editorialTreatment,priority,date,type,actualConversationPages,documentTitle,suggestedThemes,source,sourcePdfPages,markerPage,localDerivativePdf,sourcePacketUrl,frusSourceNote,extractionQaStatus,declassificationIssues,annotationNeeds,compilerNotes
"1","","","Document candidate","Core chronology","1993-01-23","Telcon","3","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","Economic reform / assistance","2015-0782-M-1","9-11","1","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9300052, Original OA/ID 139, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 9-11 from 2015-0782-M-1 and appended original marker page 1 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"2","","","Document candidate","Core chronology","1993-02-10","Telcon","3","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","Economic reform / assistance","2015-0782-M-1","19-21","14","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 140, Folder Title/Record ID 9300488, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 19-21 from 2015-0782-M-1 and appended original marker page 14 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"3","","","Research gap / possible editorial note","Hard source gap","1993-04-01","Telcon","","Telephone call with President Boris Yeltsin of Russia, April 1, 1993, Portland, Oregon","Economic reform / assistance","2015-0782-M-1","No released April 1 telcon pages located in 2015-0782-M-1","","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","No extracted PDF; actual conversation pages not located","","","Pending source problem: no derivative PDF generated because no released April 1, 1993 telcon pages were located after rechecking the Clinton Library chronology and digital collection, Google Drive, NARA Scout/Catalog, and National Security Archive. Do not substitute the nearby Vancouver summit memcons, 930401 preview cable, or April 26 telcon."
"4","","","Document candidate","Core chronology","1993-04-03","Memcon","9","Working Dinner with President Boris Yeltsin","Economic reform / assistance","2014-0901-M","9-17","2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 9-17 from 2014-0901-M and appended original marker page 2 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"5","","","Document candidate","Core chronology","1993-04-04","Memcon","12","Meeting with Russian President Boris Yeltsin on Security Issues","Ukraine / nuclear security; Economic reform / assistance","2014-0901-M","19-30","2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 19-30 from 2014-0901-M and appended original marker page 2 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"6","","","Document candidate","Core chronology","1993-04-26","Telcon","2","Telephone call with President Boris Yeltsin of Russia, April 26, 1993, White House","Economic reform / assistance","2015-0782-M-1","51-52","45","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-26-telcon-05.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 147, Folder Title/Record ID 9302835, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 51-52 from 2015-0782-M-1 and appended original marker page 45 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"7","","","Document candidate","Core chronology","1993-05-02","Telcon","2","Telephone call with President Boris Yeltsin of Russia, May 2, 1993, White House","Economic reform / assistance","2015-0782-M-1","60-61","55","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-02-telcon-06.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303034, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 60-61 from 2015-0782-M-1 and appended original marker page 55 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"8","","","Document candidate","Core chronology","1993-05-10","Telcon","2","Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House","Economic reform / assistance","2015-0782-M-1","68-69","63","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303261, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 68-69 from 2015-0782-M-1 and appended original marker page 63 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"9","","","Document candidate","Core chronology","1993-06-28","Telcon","4","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","Economic reform / assistance","2015-0782-M-1","76-79","71","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 152, Folder Title/Record ID 9304871, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 76-79 from 2015-0782-M-1 and appended original marker page 71 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"10","","","Document candidate","Core chronology","1993-07-10","Memcon","9","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","Economic reform / assistance","2015-0782-M-1","81-89","80","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9305178, Original OA/ID 153, Mandatory Declassification Review 2014-0996-M, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 81-89 from 2015-0782-M-1 and appended original marker page 80 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
