sequence,date,type,readinessBucket,actualConversationPages,packetPages,title,extractionStatus,provenanceStatus,sourceNoteStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,annotationTreatment,selectionTier,selectionScore,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,hardGapClass,nextAction,sourcePdfPages,derivativePdfUrl,sourcePacketUrl,frusSourceNote
"1","1993-01-23","Telcon","Ready to read; source-note review","3","1-4","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 1","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Standard annotation review","Tier 4 - concise/confirmatory","33","Economic Reform / Assistance (4); Arms Control / Nonproliferation (3); Iraq / Middle East (2)","Yeltsin (7); Christopher (4); Kozyrev (3); UN (3); Talbott (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","9-11","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9300052, Original OA/ID 139, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"2","1993-02-10","Telcon","Ready to read; source-note review","3","5-8","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 14","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Parsed","","Standard annotation review","Tier 4 - concise/confirmatory","37","Kosovo / Balkans (7); NATO / European Security (3); Iraq / Middle East (1)","Yeltsin (7); UN (4); Christopher (3); Kozyrev (3); NATO (3); Milosevic (2)","0","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed; declassify-on line not parsed).","19-21","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 140, Folder Title/Record ID 9300488, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"3","1993-04-01","Telcon","Hard source gap","","","Telephone call with President Boris Yeltsin of Russia, April 1, 1993, Portland, Oregon","Pending source text","No derivative PDF until actual conversation pages are found","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","","1","1","0","0","No released conversation pages located","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","No released April 1 telcon pages located in 2015-0782-M-1","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"4","1993-04-03","Memcon","Ready to read; source-note review","9","9-18","Working Dinner with President Boris Yeltsin","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 2","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 2 - strong candidate","92","Economic Reform / Assistance (18); Arms Control / Nonproliferation (4); Russian Politics / Elections (3)","Yeltsin (41); Kozyrev (7); Christopher (4); G-7 (4); Chernomyrdin (2); UN (2)","0","3","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","9-17","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404."
"5","1993-04-04","Memcon","Ready to read; source-note review","12","19-31","Meeting with Russian President Boris Yeltsin on Security Issues","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 2","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 1 - likely core","132","Ukraine / Nuclear Security (18); Economic Reform / Assistance (17); Iraq / Middle East (15)","Yeltsin (61); G-7 (5); Christopher (4); Kozyrev (3); Chernomyrdin (1); Gore (1)","0","3","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","19-30","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404."
"6","1993-04-26","Telcon","Ready to read; source-note review","2","32-34","Telephone call with President Boris Yeltsin of Russia, April 26, 1993, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 45","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Light annotation check","Tier 4 - concise/confirmatory","23","Economic Reform / Assistance (1)","Yeltsin (12)","1","1","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","51-52","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-26-telcon-05.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 147, Folder Title/Record ID 9302835, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"7","1993-05-02","Telcon","Ready to read; source-note review","2","35-37","Telephone call with President Boris Yeltsin of Russia, May 2, 1993, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 55","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Light annotation check","Tier 4 - concise/confirmatory","23","","Yeltsin (9); Christopher (4)","1","1","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","60-61","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-02-telcon-06.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303034, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"8","1993-05-10","Telcon","Ready to read; source-note review","2","38-40","Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 63","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Light annotation check","Tier 4 - concise/confirmatory","22","Chechnya / Caucasus (6); Ukraine / Nuclear Security (6)","Yeltsin (6)","1","0","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","68-69","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303261, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"9","1993-06-28","Telcon","Ready to read; source-note review","4","41-45","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 71","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","69","Economic Reform / Assistance (17); Arms Control / Nonproliferation (6); Iraq / Middle East (5)","Yeltsin (12); G-7 (9); Chernomyrdin (3); Talbott (3); Gore (2); IMF (2)","1","1","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","76-79","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 152, Folder Title/Record ID 9304871, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"10","1993-07-10","Memcon","Ready to read; source-note review","9","46-55","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 80","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Tier 1 - likely core","100","Ukraine / Nuclear Security (17); Iraq / Middle East (7); Economic Reform / Assistance (4)","Yeltsin (48); Christopher (6); Kozyrev (5); Talbott (4); Berger (1); Chernomyrdin (1)","0","1","2","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","81-89","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9305178, Original OA/ID 153, Mandatory Declassification Review 2014-0996-M, Declassified documents concerning Russian President Boris Yeltsin."
