provisionalDocumentNumber,finalFrusDocumentNumber,includeDecision,editorialTreatment,compilerNotes,spineOrder,sequence,date,type,title,phaseLabel,selectionTier,selectionScore,actualConversationPages,cumulativeActualPages,packetPages,sourcePdfPages,markerPage,provenanceSheetPacketPage,dominantIssues,topAuthorities,sourceNoteStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,annotationTreatment,pddReferenceCount,publicStatementCount,sourceCopyCount,selectionReasons,nextActions,baseFrusSourceNote,pdfUrl,sourcePacketUrl
"D-001","","","","","1","4","1993-04-03","Memcon","Working Dinner with President Boris Yeltsin","Opening channel, Vancouver, and Tokyo","Tier 2 - strong candidate","92","9","9","9-18","9-17","2","18","Economic Reform / Assistance (18); Arms Control / Nonproliferation (4); Russian Politics / Elections (3)","Yeltsin (41); Kozyrev (7); Christopher (4); G-7 (4); Chernomyrdin (2); UN (2)","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","0","3","0","Tier 2 representative for Russian Politics / Elections","P1 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P1 Draft spine closeout: Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf"
"D-002","","","","","2","5","1993-04-04","Memcon","Meeting with Russian President Boris Yeltsin on Security Issues","Opening channel, Vancouver, and Tokyo","Tier 1 - likely core","132","12","21","19-31","19-30","2","31","Ukraine / Nuclear Security (18); Economic Reform / Assistance (17); Iraq / Middle East (15)","Yeltsin (61); G-7 (5); Christopher (4); Kozyrev (3); Chernomyrdin (1); Gore (1)","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","0","3","0","Core Tier 1 likely FRUS document","P0 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P0 Draft spine closeout: Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf"
"D-003","","","","","3","10","1993-07-10","Memcon","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","Opening channel, Vancouver, and Tokyo","Tier 1 - likely core","100","9","30","46-55","81-89","80","55","Ukraine / Nuclear Security (17); Iraq / Middle East (7); Economic Reform / Assistance (4)","Yeltsin (48); Christopher (6); Kozyrev (5); Talbott (4); Berger (1); Chernomyrdin (1)","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","0","1","2","Core Tier 1 likely FRUS document","P0 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P0 Draft spine closeout: Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9305178, Original OA/ID 153, Mandatory Declassification Review 2014-0996-M, Declassified documents concerning Russian President Boris Yeltsin.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"D-004","","","","","4","16","1994-01-13","Memcon","President's dinner with President Yeltsin, January 13/14, 1994","Ukraine, Partnership for Peace, and the 1994 balance","Tier 1 - likely core","127","11","41","80-90","1-11","","","Iraq / Middle East (20); NATO / European Security (9); Ukraine / Nuclear Security (9)","Yeltsin (62); NATO (6); Kozyrev (4); Chernomyrdin (2); Gore (2); Christopher (1)","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","0","4","0","Core Tier 1 likely FRUS document","P0 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P0 Draft spine closeout: Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants; classification marking).","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101370, ""Memorandum of Conversation - President Boris Yeltsin of Russia,"" January 13, 1994, part of 2016-0117-M, Memcons - Memoranda of Conversation. Item description: ""This Memcon was received as a NSC Cable.""","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf","https://clinton.presidentiallibraries.us/files/original/c016beef71be071cd9c96fcf0972fd57.pdf"
"D-005","","","","","5","18","1994-01-14","Memcon","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","Ukraine, Partnership for Peace, and the 1994 balance","Tier 1 - likely core","112","8","49","94-101","State FOIA document C06694502, conversation pages 1-8","","","Arms Control / Nonproliferation (30); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","Yeltsin (20); Chernomyrdin (2); Christopher (1); Gore (1); Kozyrev (1); Talbott (1)","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Parsed","","Heavy annotation review","1","6","2","Core Tier 1 likely FRUS document","P0 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P0 Draft spine closeout: Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed; declassify-on line not parsed).","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06694502.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf","https://drive.google.com/file/d/1pr42yhINujL_px_Y5aXD_MmChhc5sy9v/view"
"D-006","","","","","6","28","1994-09-27","Memcon","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","Ukraine, Partnership for Peace, and the 1994 balance","Tier 1 - likely core","146","10","59","134-144","251-260","245","144","Ukraine / Nuclear Security (43); Arms Control / Nonproliferation (42); Iraq / Middle East (3)","Yeltsin (31); Christopher (7); Kozyrev (6); Gore (1); Milosevic (1)","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","0","4","1","Core Tier 1 likely FRUS document","P0 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P0 Draft spine closeout: Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 482, Folder Title/Record ID 9408513, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"D-007","","","","","7","34","1995-05-10","Memcon","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","1995 summits, reform assistance, and NATO pressure","Tier 1 - likely core","195","16","75","171-187","285-300","284","187","NATO / European Security (67); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","NATO (41); Gore (12); Yeltsin (11); Chernomyrdin (8); Kozyrev (3); G-7 (2)","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","1","7","0","Core Tier 1 likely FRUS document","P0 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P0 Draft spine closeout: Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants; classification marking).","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9503774, Original OA/ID 582, Mandatory Declassification Review 2014-0904-M-Release-A, Declassified documents concerning Russia.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"D-008","","","","","8","35","1995-06-17","Memcon","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","1995 summits, reform assistance, and NATO pressure","Tier 2 - strong candidate","76","8","83","188-195","Strobe FOIA document C06835181, conversation pages 1-8","","","NATO / European Security (18); Ukraine / Nuclear Security (9); Chechnya / Caucasus (8)","NATO (13); Yeltsin (6); Chernomyrdin (4); Gore (4); UN (3); Christopher (1)","Needs source-note review","participants; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants","Heavy annotation review","0","1","1","Tier 2 representative for Chechnya / Caucasus","P1 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P1 Draft spine closeout: Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants).","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06835181.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html"
"D-009","","","","","9","38","1995-10-23","Memcon","Clinton-Yeltsin One-on-One","1995 summits, reform assistance, and NATO pressure","Tier 2 - strong candidate","97","12","95","206-218","5-16","2","218","NATO / European Security (21); Ukraine / Nuclear Security (7); Arms Control / Nonproliferation (5)","NATO (18); Yeltsin (15); Gore (5); Chernomyrdin (4); Tudjman (4); Milosevic (2)","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","0","2","1","Phase-balance anchor: 1995 summits, reform assistance, and NATO pressure has one Tier 1 document","P1 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P1 Draft spine closeout: Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants; classification marking).","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 43319, Folder Title/Record ID 9507853, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf"
"D-010","","","","","10","45","1996-04-21","Memcon","Luncheon Meeting with Russian President Boris Yeltsin","1996 election and enlargement management","Tier 2 - strong candidate","79","7","102","261-268","7-13","2","268","Economic Reform / Assistance (17); Russian Politics / Elections (11); Arms Control / Nonproliferation (3)","Yeltsin (18); G-7 (11); Zyuganov (3); Berger (1); Ivanov (1); Talbott (1)","Parsed face-page fields available","","Parsed","","Heavy annotation review","0","4","1","Phase-continuity anchor: 1996 election and enlargement management has no Tier 1 document","P1 Draft spine closeout: Read the derivative PDF, verify source-note/face-page addenda, capture annotation hooks, and make the include/excerpt/background call.; P1 Draft spine closeout: Complete heavy annotation review, then make the include/excerpt/background decision.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1100, Folder Title/Record ID 9602963, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
