sequence,date,type,status,selectionTier,selectionScore,actualConversationPages,packetPages,title,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,annotationTreatment,rationale,suggestedTreatment,decisionRemaining,sourcePdfPages,pdfUrl,sourcePacketUrl,frusSourceNote
"1","1993-01-23","Telcon","counted","Tier 4 - concise/confirmatory","33","3","1-4","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","Economic Reform / Assistance (4); Arms Control / Nonproliferation (3); Iraq / Middle East (2)","Yeltsin (7); Christopher (4); Kozyrev (3); UN (3); Talbott (1)","1","0","1","0","Standard annotation review","Standard annotation review; PDD timing check; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","9-11","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9300052, Original OA/ID 139, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"2","1993-02-10","Telcon","counted","Tier 4 - concise/confirmatory","37","3","5-8","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","Kosovo / Balkans (7); NATO / European Security (3); Iraq / Middle East (1)","Yeltsin (7); UN (4); Christopher (3); Kozyrev (3); NATO (3); Milosevic (2)","0","0","1","0","Standard annotation review","Standard annotation review; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","19-21","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 140, Folder Title/Record ID 9300488, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"3","1993-04-01","Telcon","pending","Hard source gap","","","","Telephone call with President Boris Yeltsin of Russia, April 1, 1993, Portland, Oregon","","","1","1","0","0","Hard source follow-up","PDD corroborates occurrence; Public Papers/context hook exists; No released conversation pages located","Do not select as a document until actual conversation pages are found; use the hard-gap packet for follow-up.","Source decision: locate released actual conversation pages before any document selection.","No released April 1 telcon pages located in 2015-0782-M-1","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"4","1993-04-03","Memcon","counted","Tier 2 - strong candidate","92","9","9-18","Working Dinner with President Boris Yeltsin","Economic Reform / Assistance (18); Arms Control / Nonproliferation (4); Russian Politics / Elections (3)","Yeltsin (41); Kozyrev (7); Christopher (4); G-7 (4); Chernomyrdin (2); UN (2)","0","3","0","0","Heavy annotation review","Heavy annotation review; public framing available","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","9-17","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404."
"5","1993-04-04","Memcon","counted","Tier 1 - likely core","132","12","19-31","Meeting with Russian President Boris Yeltsin on Security Issues","Ukraine / Nuclear Security (18); Economic Reform / Assistance (17); Iraq / Middle East (15)","Yeltsin (61); G-7 (5); Christopher (4); Kozyrev (3); Chernomyrdin (1); Gore (1)","0","3","0","0","Heavy annotation review","Heavy annotation review; public framing available","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","19-30","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404."
"6","1993-04-26","Telcon","counted","Tier 4 - concise/confirmatory","23","2","32-34","Telephone call with President Boris Yeltsin of Russia, April 26, 1993, White House","Economic Reform / Assistance (1)","Yeltsin (12)","1","1","1","1","Light annotation check","Light annotation check; PDD timing check; public framing available; source-copy control; support/context leads","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","51-52","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-26-telcon-05.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 147, Folder Title/Record ID 9302835, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"7","1993-05-02","Telcon","counted","Tier 4 - concise/confirmatory","23","2","35-37","Telephone call with President Boris Yeltsin of Russia, May 2, 1993, White House","","Yeltsin (9); Christopher (4)","1","1","1","1","Light annotation check","Light annotation check; PDD timing check; public framing available; source-copy control; support/context leads","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","60-61","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-02-telcon-06.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303034, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"8","1993-05-10","Telcon","counted","Tier 4 - concise/confirmatory","22","2","38-40","Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House","Chechnya / Caucasus (6); Ukraine / Nuclear Security (6)","Yeltsin (6)","1","0","0","0","Light annotation check","Light annotation check; PDD timing check","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","68-69","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303261, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"9","1993-06-28","Telcon","counted","Tier 3 - supporting candidate","69","4","41-45","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","Economic Reform / Assistance (17); Arms Control / Nonproliferation (6); Iraq / Middle East (5)","Yeltsin (12); G-7 (9); Chernomyrdin (3); Talbott (3); Gore (2); IMF (2)","1","1","1","1","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","76-79","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 152, Folder Title/Record ID 9304871, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"10","1993-07-10","Memcon","counted","Tier 1 - likely core","100","9","46-55","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","Ukraine / Nuclear Security (17); Iraq / Middle East (7); Economic Reform / Assistance (4)","Yeltsin (48); Christopher (6); Kozyrev (5); Talbott (4); Berger (1); Chernomyrdin (1)","0","1","2","0","Heavy annotation review","Heavy annotation review; public framing available; source-copy control","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","81-89","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9305178, Original OA/ID 153, Mandatory Declassification Review 2014-0996-M, Declassified documents concerning Russian President Boris Yeltsin."
