sequence,date,type,sourceNoteReviewStatus,reviewFlags,title,sourceNoteDraftForReview,workingProvenanceForAudit,baseFrusSourceNote,facePageAddendaForReview,subject,dateTimePlace,participantsBlock,notetaker,interpreter,classificationMarking,classifiedBy,reason,declassifyOn,declassifiedBy,packetPages,actualConversationPacketPages,sourcePdfPages,pdfUrl,sourcePacketUrl
"1","1993-01-23","Telcon","Needs source-note review","classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9300052, Original OA/ID 139, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Nicholas Burns, NSC staff as notetaker. The face page identifies Dmitri Zarechnak as interpreter. The face page gives the date/time/place as: January 23, 1993, 10:45 - 11:17am Oval Office.","Source PDF pages 9-11. Source marker/provenance page 1. Compiler packet pages 1-4; actual conversation pages 1-3; provenance sheet page 4.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9300052, Original OA/ID 139, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon with President Boris Yeltsin of Russia on January 23, 1993 (U) | Date/time/place: January 23, 1993, 10:45 - 11:17am Oval Office | Face-page marking: 5ECRB?- PER E.0.13526. | Declassify on: OADR ^015-078a-0 ) | Notetaker: Nicholas Burns, NSC staff | Interpreter: Dmitri Zarechnak | Participants block: The President President Boris Yeltsin Interpreter: Dmitri Zarechnak Notetaker: Nicholas Burns, NSC staff","Telcon with President Boris Yeltsin of Russia on January 23, 1993 (U)","January 23, 1993, 10:45 - 11:17am Oval Office","The President President Boris Yeltsin Interpreter: Dmitri Zarechnak Notetaker: Nicholas Burns, NSC staff","Nicholas Burns, NSC staff","Dmitri Zarechnak","5ECRB?- PER E.0.13526.","","","OADR ^015-078a-0 )","DECLASSIFIED | 5ECRB?- PER E.0.13526. | Declassify on: OADR ^015-078a-0 )","1-4","1-3","9-11","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"2","1993-02-10","Telcon","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 140, Folder Title/Record ID 9300488, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Nicholas Burns as notetaker. The face page identifies Dmitri Zarechnak as interpreter. The face page gives the date/time/place as: February 10, 1993, 1:51 - 2:14pm Oval Office.","Source PDF pages 19-21. Source marker/provenance page 14. Compiler packet pages 5-8; actual conversation pages 5-7; provenance sheet page 8.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 140, Folder Title/Record ID 9300488, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Boris Yeltsin (U) | Date/time/place: February 10, 1993, 1:51 - 2:14pm Oval Office | Face-page marking: SECRET -E.0.13S26,Stc. 3.5 | Notetaker: Nicholas Burns | Interpreter: Dmitri Zarechnak | Participants block: The President President Boris Yeltsin Interpreter: Dmitri Zarechnak Notetaker: Nicholas Burns","Telephone Conversation with Russian President Boris Yeltsin (U)","February 10, 1993, 1:51 - 2:14pm Oval Office","The President President Boris Yeltsin Interpreter: Dmitri Zarechnak Notetaker: Nicholas Burns","Nicholas Burns","Dmitri Zarechnak","SECRET -E.0.13S26,Stc. 3.5","","","","DECLASSIFIED | PER E.0.13526 ^. | Declassifv on: OADR _O Wttite-HouEBCiptiaik","5-8","5-7","19-21","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"3","1993-04-03","Memcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Working Dinner with President Boris Yeltsin","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404. [Classification marking to be verified against the source PDF]. The face page identifies Director for Russian, Ukrainian and Eurasian Affairs, NSC Staff as notetaker. The face page gives the date/time/place as: April 3, 1993, 6:30 - 8:30pm Vancouver, Canada (Both Presidents opened the dinner by giving prepared toasts).","Source PDF pages 9-17. Source marker/provenance page 2. Compiler packet pages 9-18; actual conversation pages 9-17; provenance sheet page 18.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404.","Subject: Working Dinner with President Boris Yeltsin (U) | Date/time/place: April 3, 1993, 6:30 - 8:30pm Vancouver, Canada (Both Presidents opened the dinner by giving prepared toasts) | Declassify on: OADR | Notetaker: Director for Russian, Ukrainian and Eurasian Affairs, NSC Staff | Participants block: The President Warren Christopher, Secretary of State Lloyd Bentsen, Secretary of Treasury Mack McLarty, Chief of Staff George Stephanopoulos, Assistant to the President and Director of Communications Anthony Lake, Assistant to the President for National Security Affairs Samuel Berger, Deputy Assistant to the President for National Security Affairs Thomas...","Working Dinner with President Boris Yeltsin (U)","April 3, 1993, 6:30 - 8:30pm Vancouver, Canada (Both Presidents opened the dinner by giving prepared toasts)","The President Warren Christopher, Secretary of State Lloyd Bentsen, Secretary of Treasury Mack McLarty, Chief of Staff George Stephanopoulos, Assistant to the President and Director of Communications Anthony Lake, Assistant to the President for National Security Affairs Samuel Berger, Deputy Assistant to the President for National Security Affairs Thomas Pickering, Ambassador-Designate to Russia Toby T. Gati, Special Assistant to the President for National Security Affairs Nicholas Burns, Director for Russian, Ukrainian and Eurasian Affairs, NSC Staff Rose Gottemoeller, Director for Russian, Ukrainian and Eurasian Affairs, NSC Staff (Notetaker) Boris Yeltsin, President Boris Fedorov, Finance Minister Andrei Kozyrev, Foreign Minister Alexander Shokhin, Deputy Prime Minister Viktor Ilyushin, Chief Assistant to the President Vladimir Lukin, Russian Ambassador to the US Dmitri Ryurikov, Assistant to the President Georgy Mamedov, Deputy Foreign Minister Vyacheslov Kostikov, Press Secretary","Director for Russian, Ukrainian and Eurasian Affairs, NSC Staff","","","","","OADR","DECLASSIFIED | PER E.0.13526 | Declassify on: OADR","9-18","9-17","9-17","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf"
"4","1993-04-04","Memcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Meeting with Russian President Boris Yeltsin on Security Issues","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404. [Classification marking to be verified against the source PDF]. The face page identifies Assistant to the President for National Security Affairs Daniel Poneman, Senior Director for Nonproliferation, NSC Staff as notetaker. The face page gives the date/time/place as: April 4, 1993, 10:00 a.m. to 1:00 p.m. Pan Pacific Hotel, Vancouver, Canada.","Source PDF pages 19-30. Source marker/provenance page 2. Compiler packet pages 19-31; actual conversation pages 19-30; provenance sheet page 31.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404.","Subject: Meeting with Russian President Boris Yeltsin on Security Issues (U) | Date/time/place: April 4, 1993, 10:00 a.m. to 1:00 p.m. Pan Pacific Hotel, Vancouver, Canada | Declassify on: OADR DECLASSIFIED | Notetaker: Assistant to the President for National Security Affairs Daniel Poneman, Senior Director for Nonproliferation, NSC Staff | Participants block: The President Warren Christopher, Secretary of State Lloyd Bentsen, Secretary of the Treasury George Stephanopolous, Assistant to the President and Director of Communications Strobe Talbott, Ambassador-at-Large and Special Advisor to the Secretary of State Anthony Lake, Advisor to the President for National Security Affairs Thomas Pickering, Ambassador-de...","Meeting with Russian President Boris Yeltsin on Security Issues (U)","April 4, 1993, 10:00 a.m. to 1:00 p.m. Pan Pacific Hotel, Vancouver, Canada","The President Warren Christopher, Secretary of State Lloyd Bentsen, Secretary of the Treasury George Stephanopolous, Assistant to the President and Director of Communications Strobe Talbott, Ambassador-at-Large and Special Advisor to the Secretary of State Anthony Lake, Advisor to the President for National Security Affairs Thomas Pickering, Ambassador-designate to Russia Toby T. Gati, Assistant to the President for National Security Affairs Daniel Poneman, Senior Director for Nonproliferation, NSC Staff (Notetaker) Rose Gottemoeller, Director for Russian, Ukrainian and Eurasian Affairs, NSC Staff (Notetaker) Boris Yeltsin, President Boris Fedorov, Finance Minister Andrei Kozyrev, Foreign Minister Alexander Shokhin, Deputy Prime Minister Dmitri Ryurikov, Assistant to the President Georgy Mamedov, Deputy Foreign Minister Viktor Mikhailov, Minister for Atomic Energy Vladimir Lukin, Russian Ambassador to the US Vyacheslov Kostikov, Press Secretary","Assistant to the President for National Security Affairs Daniel Poneman, Senior Director for Nonproliferation, NSC Staff","","","","","OADR DECLASSIFIED","Declassify on: OADR DECLASSIFIED | OC.'uTx PER E.0.13526 ^.","19-31","19-30","19-30","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf"
"5","1993-04-26","Telcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, April 26, 1993, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 147, Folder Title/Record ID 9302835, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Beth Banner as notetaker. The face page identifies Peter Afanasenko as interpreter. The face page gives the date/time/place as: April 26, 1993, 1:50 - 1:58pm Residence.","Source PDF pages 51-52. Source marker/provenance page 45. Compiler packet pages 32-34; actual conversation pages 32-33; provenance sheet page 34.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 147, Folder Title/Record ID 9302835, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon with President Yeltsin of Russia | Date/time/place: April 26, 1993, 1:50 - 1:58pm Residence | Declassify on: OADR PER -E.0.13526^.. | Notetaker: Beth Banner | Interpreter: Peter Afanasenko | Participants block: The President President Boris Yeltsin Interpreter: Peter Afanasenko Notetaker: Beth Banner","Telcon with President Yeltsin of Russia","April 26, 1993, 1:50 - 1:58pm Residence","The President President Boris Yeltsin Interpreter: Peter Afanasenko Notetaker: Beth Banner","Beth Banner","Peter Afanasenko","","","","OADR PER -E.0.13526^..","DECLASSIFIED | Declassify on: OADR PER -E.0.13526^..","32-34","32-33","51-52","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-26-telcon-05.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"6","1993-05-02","Telcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, May 2, 1993, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303034, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Nicholas Burns as notetaker. The face page identifies Dmitri Zarechnak as interpreter. The face page gives the date/time/place as: May 2, 1993, 8:45 - 8:51am The Residence.","Source PDF pages 60-61. Source marker/provenance page 55. Compiler packet pages 35-37; actual conversation pages 35-36; provenance sheet page 37.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303034, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon with President Boris Yeltsin of Russia (U) | Date/time/place: May 2, 1993, 8:45 - 8:51am The Residence | Declassify on: OADR PER E.0.13526, | Notetaker: Nicholas Burns | Interpreter: Dmitri Zarechnak | Participants block: The President President Boris Yeltsin of Russia Interpreter: Dmitri Zarechnak Notetaker: Nicholas Burns","Telcon with President Boris Yeltsin of Russia (U)","May 2, 1993, 8:45 - 8:51am The Residence","The President President Boris Yeltsin of Russia Interpreter: Dmitri Zarechnak Notetaker: Nicholas Burns","Nicholas Burns","Dmitri Zarechnak","","","","OADR PER E.0.13526,","GECRBT- DECLASSIFIED | Declassify on: OADR PER E.0.13526,","35-37","35-36","60-61","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-02-telcon-06.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"7","1993-05-10","Telcon","Needs source-note review","classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303261, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. Secret. The face page identifies Christine Potts as notetaker. The face page identifies Dmitriy Zarechnak as interpreter. The face page gives the date/time/place as: May 10, 1993, 8:12 - 8:19am The Oval Office President Clinton: Hello, Boris. Good morning. (U).","Source PDF pages 68-69. Source marker/provenance page 63. Compiler packet pages 38-40; actual conversation pages 38-39; provenance sheet page 40.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303261, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon With President Boris Yeltsin of Russia (U) | Date/time/place: May 10, 1993, 8:12 - 8:19am The Oval Office President Clinton: Hello, Boris. Good morning. (U) | Face-page marking: .SECRET | Declassify on: OADR | Notetaker: Christine Potts | Interpreter: Dmitriy Zarechnak | Participants block: The President President Boris Yeltsin of Russia Interpreter: Dmitriy Zarechnak Notetaker: Christine Potts","Telcon With President Boris Yeltsin of Russia (U)","May 10, 1993, 8:12 - 8:19am The Oval Office President Clinton: Hello, Boris. Good morning. (U)","The President President Boris Yeltsin of Russia Interpreter: Dmitriy Zarechnak Notetaker: Christine Potts","Christine Potts","Dmitriy Zarechnak",".SECRET","","","OADR","DECLASSIFIED | PER E.0.13526, | Declassify on: OADR","38-40","38-39","68-69","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"8","1993-06-28","Telcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 152, Folder Title/Record ID 9304871, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Beth Banner as notetaker. The face page identifies Demitry Zarechnak as interpreter. The face page gives the date/time/place as: 28 June 1993, 1:05 - 1:33pm Oval Office President Clinton: Hello. (U).","Source PDF pages 76-79. Source marker/provenance page 71. Compiler packet pages 41-45; actual conversation pages 41-44; provenance sheet page 45.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 152, Folder Title/Record ID 9304871, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon with President Boris Yeltsin of the Russian Federation (U) | Date/time/place: 28 June 1993, 1:05 - 1:33pm Oval Office President Clinton: Hello. (U) | Declassify on: OADR | Notetaker: Beth Banner | Interpreter: Demitry Zarechnak | Participants block: The President President Boris Yeltsin Interpreter: Demitry Zarechnak Notetaker: Beth Banner","Telcon with President Boris Yeltsin of the Russian Federation (U)","28 June 1993, 1:05 - 1:33pm Oval Office President Clinton: Hello. (U)","The President President Boris Yeltsin Interpreter: Demitry Zarechnak Notetaker: Beth Banner","Beth Banner","Demitry Zarechnak","","","","OADR","DECLASSMED | PER E.0.13526. | Declassify on: OADR","41-45","41-44","76-79","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"9","1993-07-10","Memcon","Needs source-note review","classified-by line not parsed; classification reason not parsed","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9305178, Original OA/ID 153, Mandatory Declassification Review 2014-0996-M, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Acting Senior Director for Russia, Ukraine and Eurasia Affairs, NSC staff as notetaker. The face page gives the date/time/place as: July 10, 1993, 7:45 - 9:15am Ambassador's Residence, Tokyo.","Source PDF pages 81-89. Source marker/provenance page 80. Compiler packet pages 46-55; actual conversation pages 46-54; provenance sheet page 55.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9305178, Original OA/ID 153, Mandatory Declassification Review 2014-0996-M, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Memcon with President Boris Yeltsin of Russia (U) | Date/time/place: July 10, 1993, 7:45 - 9:15am Ambassador's Residence, Tokyo | Face-page marking: SECRET- CLINTON LIBRARY PHOTOCOPY | Declassify on: OADR | Notetaker: Acting Senior Director for Russia, Ukraine and Eurasia Affairs, NSC staff | Participants block: The President Warren Christopher, Secretary of State Lloyd Bentsen, Secretary of the Treasury Samuel Berger, Deputy Assistant to the President for National Security Affairs Strobe Talbott, Ambassador at Large and Special Adviser to the Secretary on the New Independent States Nicholas Burns, Acting Senior Director for Russia, Ukraine and Eurasia Affairs, N...","Memcon with President Boris Yeltsin of Russia (U)","July 10, 1993, 7:45 - 9:15am Ambassador's Residence, Tokyo","The President Warren Christopher, Secretary of State Lloyd Bentsen, Secretary of the Treasury Samuel Berger, Deputy Assistant to the President for National Security Affairs Strobe Talbott, Ambassador at Large and Special Adviser to the Secretary on the New Independent States Nicholas Burns, Acting Senior Director for Russia, Ukraine and Eurasia Affairs, NSC staff (notetaker) President Boris Yeltsin Andrei Kozyrev, Minister of Foreign Affairs Boris Federov, Minister of Finance Viktor Ilyushin, First Assistant to President Yeltsin Dmitri Ryurikov, Assistant to President Yeltsin Sergey Glaziev, Minister of Foreign Economic Trade (Notetaker)","Acting Senior Director for Russia, Ukraine and Eurasia Affairs, NSC staff","","SECRET- CLINTON LIBRARY PHOTOCOPY","","","OADR","DECLASSIFIED | PER E.0.13526. | Declassify on: OADR","46-55","46-54","81-89","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"10","1993-09-07","Telcon","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 160, Folder Title/Record ID 9306715, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Beth Banner as notetaker. The face page identifies Demitry Zarechnak as interpreter. The face page gives the date/time/place as: September 7, 1993, 11:40am - 12:10pm Oval Office.","Source PDF pages 95-98. Source marker/provenance page 91. Compiler packet pages 56-60; actual conversation pages 56-59; provenance sheet page 60.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 160, Folder Title/Record ID 9306715, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon with President Boris Yeltsin of the Russian Federation (U) | Date/time/place: September 7, 1993, 11:40am - 12:10pm Oval Office | Face-page marking: -SEGREf^ | Notetaker: Beth Banner | Interpreter: Demitry Zarechnak | Participants block: The President President Yeltsin Interpreter: Demitry Zarechnak Notetaker: Beth Banner","Telcon with President Boris Yeltsin of the Russian Federation (U)","September 7, 1993, 11:40am - 12:10pm Oval Office","The President President Yeltsin Interpreter: Demitry Zarechnak Notetaker: Beth Banner","Beth Banner","Demitry Zarechnak","-SEGREf^","","","","DECLASSIFIED | PER E.0.13526 | Declassify on; OADR","56-60","56-59","95-98","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
