sequence,date,type,status,reviewBucket,sourceFamily,title,actualConversationPages,sourcePdfPages,packetPages,markerPage,repository,clintonPresidentialRecords,nscRmoCollection,parentCollectionNaid,prsSeriesNaid,documentId,originalOaId,oaBoxNumber,folderRecordId,mdrCase,catalogItem,digitalLibraryItems,foiaCase,foiaDocument,foiaRequest,releaseIds,naids,sourceNoteReviewStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,subject,dateTimePlace,notetaker,interpreter,classificationMarking,formalDraftHasNoWorkingPageMap,workingProvenanceForAudit,elementChecklist,nextAction,derivativePdfUrl,sourcePacketUrl,frusSourceNote
"1","1993-01-23","Telcon","counted","Face-page/source-note review","Clinton Library MDR","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","3","9-11","1-4","1","true","true","true","true","true","9300052","139","","","2015-0782-M-1","","","","","","2015-0782-M-1","7388808; 7585721","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Telcon with President Boris Yeltsin of Russia on January 23, 1993 (U)","January 23, 1993, 10:45 - 11:17am Oval Office","Nicholas Burns, NSC staff","Dmitri Zarechnak","5ECRB?- PER E.0.13526.","true","Source PDF pages 9-11. Source marker/provenance page 1. Compiler packet pages 1-4; actual conversation pages 1-3; provenance sheet page 4.","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK MDR case; OK box/folder/document identifier; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Verify OCR-derived face-page addenda before final source-note use: classified-by line not parsed; classification reason not parsed","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9300052, Original OA/ID 139, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"2","1993-02-10","Telcon","counted","Face-page/source-note review","Clinton Library MDR","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","3","19-21","5-8","14","true","true","true","true","true","","","140","9300488","2015-0782-M-1","","","","","","2015-0782-M-1","7388808; 7585721","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Parsed","","Telephone Conversation with Russian President Boris Yeltsin (U)","February 10, 1993, 1:51 - 2:14pm Oval Office","Nicholas Burns","Dmitri Zarechnak","SECRET -E.0.13S26,Stc. 3.5","true","Source PDF pages 19-21. Source marker/provenance page 14. Compiler packet pages 5-8; actual conversation pages 5-7; provenance sheet page 8.","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK MDR case; OK box/folder/document identifier; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Verify OCR-derived face-page addenda before final source-note use: classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 140, Folder Title/Record ID 9300488, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"3","1993-04-01","Telcon","pending","Pending source text","Pending source text","Telephone call with President Boris Yeltsin of Russia, April 1, 1993, Portland, Oregon","","No released April 1 telcon pages located in 2015-0782-M-1","","","true","true","true","true","true","","","","","2015-0782-M-1","","","","","","2015-0782-M-1","7388808; 7585721","Pending source text","","Pending source text","","","","","","","true","","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK MDR case; CHECK box/folder/document identifier; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Do not finalize a source note until released conversation pages are found; preserve current lead and source-page problem.","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"4","1993-04-03","Memcon","counted","Face-page/source-note review","NARA Catalog item","Working Dinner with President Boris Yeltsin","9","9-17","9-18","2","true","true","true","true","true","","","145","9302226","","2014-0901-M","","","","","2014-0901-M","7388808; 7585721; 163545404","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Working Dinner with President Boris Yeltsin (U)","April 3, 1993, 6:30 - 8:30pm Vancouver, Canada (Both Presidents opened the dinner by giving prepared toasts)","Director for Russian, Ukrainian and Eurasian Affairs, NSC Staff","","","true","Source PDF pages 9-17. Source marker/provenance page 2. Compiler packet pages 9-18; actual conversation pages 9-17; provenance sheet page 18.","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK catalog item; OK item NAID; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Verify OCR-derived face-page addenda before final source-note use: classification marking; classified-by line not parsed; classification reason not parsed; face-page classification marking","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404."
"5","1993-04-04","Memcon","counted","Face-page/source-note review","NARA Catalog item","Meeting with Russian President Boris Yeltsin on Security Issues","12","19-30","19-31","2","true","true","true","true","true","","","145","9302226","","2014-0901-M","","","","","2014-0901-M","7388808; 7585721; 163545404","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Meeting with Russian President Boris Yeltsin on Security Issues (U)","April 4, 1993, 10:00 a.m. to 1:00 p.m. Pan Pacific Hotel, Vancouver, Canada","Assistant to the President for National Security Affairs Daniel Poneman, Senior Director for Nonproliferation, NSC Staff","","","true","Source PDF pages 19-30. Source marker/provenance page 2. Compiler packet pages 19-31; actual conversation pages 19-30; provenance sheet page 31.","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK catalog item; OK item NAID; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Verify OCR-derived face-page addenda before final source-note use: classification marking; classified-by line not parsed; classification reason not parsed; face-page classification marking","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, OA/Box Number 145, Folder Title/Record ID 9302226, National Archives Catalog item 2014-0901-M, Memcons between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545404."
"6","1993-04-26","Telcon","counted","Face-page/source-note review","Clinton Library MDR","Telephone call with President Boris Yeltsin of Russia, April 26, 1993, White House","2","51-52","32-34","45","true","true","true","true","true","","","147","9302835","2015-0782-M-1","","","","","","2015-0782-M-1","7388808; 7585721","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Telcon with President Yeltsin of Russia","April 26, 1993, 1:50 - 1:58pm Residence","Beth Banner","Peter Afanasenko","","true","Source PDF pages 51-52. Source marker/provenance page 45. Compiler packet pages 32-34; actual conversation pages 32-33; provenance sheet page 34.","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK MDR case; OK box/folder/document identifier; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Verify OCR-derived face-page addenda before final source-note use: classification marking; classified-by line not parsed; classification reason not parsed; face-page classification marking","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-26-telcon-05.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 147, Folder Title/Record ID 9302835, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"7","1993-05-02","Telcon","counted","Face-page/source-note review","Clinton Library MDR","Telephone call with President Boris Yeltsin of Russia, May 2, 1993, White House","2","60-61","35-37","55","true","true","true","true","true","","","148","9303034","2015-0782-M-1","","","","","","2015-0782-M-1","7388808; 7585721","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Telcon with President Boris Yeltsin of Russia (U)","May 2, 1993, 8:45 - 8:51am The Residence","Nicholas Burns","Dmitri Zarechnak","","true","Source PDF pages 60-61. Source marker/provenance page 55. Compiler packet pages 35-37; actual conversation pages 35-36; provenance sheet page 37.","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK MDR case; OK box/folder/document identifier; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Verify OCR-derived face-page addenda before final source-note use: classification marking; classified-by line not parsed; classification reason not parsed; face-page classification marking","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-02-telcon-06.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303034, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"8","1993-05-10","Telcon","counted","Face-page/source-note review","Clinton Library MDR","Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House","2","68-69","38-40","63","true","true","true","true","true","","","148","9303261","2015-0782-M-1","","","","","","2015-0782-M-1","7388808; 7585721","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Telcon With President Boris Yeltsin of Russia (U)","May 10, 1993, 8:12 - 8:19am The Oval Office President Clinton: Hello, Boris. Good morning. (U)","Christine Potts","Dmitriy Zarechnak",".SECRET","true","Source PDF pages 68-69. Source marker/provenance page 63. Compiler packet pages 38-40; actual conversation pages 38-39; provenance sheet page 40.","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK MDR case; OK box/folder/document identifier; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Verify OCR-derived face-page addenda before final source-note use: classified-by line not parsed; classification reason not parsed","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 148, Folder Title/Record ID 9303261, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"9","1993-06-28","Telcon","counted","Face-page/source-note review","Clinton Library MDR","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","4","76-79","41-45","71","true","true","true","true","true","","","152","9304871","2015-0782-M-1","","","","","","2015-0782-M-1","7388808; 7585721","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Telcon with President Boris Yeltsin of the Russian Federation (U)","28 June 1993, 1:05 - 1:33pm Oval Office President Clinton: Hello. (U)","Beth Banner","Demitry Zarechnak","","true","Source PDF pages 76-79. Source marker/provenance page 71. Compiler packet pages 41-45; actual conversation pages 41-44; provenance sheet page 45.","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK MDR case; OK box/folder/document identifier; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Verify OCR-derived face-page addenda before final source-note use: classification marking; classified-by line not parsed; classification reason not parsed; face-page classification marking","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 152, Folder Title/Record ID 9304871, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"10","1993-07-10","Memcon","counted","Face-page/source-note review","Clinton Library MDR","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","9","81-89","46-55","80","true","true","true","true","true","9305178","153","","","2014-0996-M","","","","","","2014-0996-M","7388808; 7585721","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Memcon with President Boris Yeltsin of Russia (U)","July 10, 1993, 7:45 - 9:15am Ambassador's Residence, Tokyo","Acting Senior Director for Russia, Ukraine and Eurasia Affairs, NSC staff","","SECRET- CLINTON LIBRARY PHOTOCOPY","true","Source PDF pages 81-89. Source marker/provenance page 80. Compiler packet pages 46-55; actual conversation pages 46-54; provenance sheet page 55.","OK repository; OK Clinton Presidential Records; OK NSC RMO collection; OK parent NAID 7388808; OK PRS series NAID 7585721; OK MDR case; OK box/folder/document identifier; OK formal source-note draft excludes page maps; OK working provenance separated; OK source page map; OK source packet URL; OK derivative PDF","Verify OCR-derived face-page addenda before final source-note use: classified-by line not parsed; classification reason not parsed","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9305178, Original OA/ID 153, Mandatory Declassification Review 2014-0996-M, Declassified documents concerning Russian President Boris Yeltsin."
