topic,sequence,date,type,packetPages,actualConversationPacketPages,hits,terms,title,pdf
"NATO / European Security","31","1995-05-10","Memcon","171-187","171-186","67","nato:41; partnership for peace:1; pfp:13; european security:12","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf"
"NATO / European Security","49","1997-03-21","Memcon","292-303","292-302","46","nato:38; partnership for peace:1; pfp:1; european security:3; helsinki:3","Helsinki Morning Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf"
"NATO / European Security","53","1997-05-27","Memcon","325-333","325-332","29","nato:10; partnership for peace:1; helsinki:2; paris:2; denver:14","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf"
"NATO / European Security","35","1995-10-23","Memcon","206-218","206-217","21","nato:18; paris:3","Clinton-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf"
"NATO / European Security","32","1995-06-17","Memcon","188-195","188-195","18","nato:13; pfp:4; european security:1","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf"
"NATO / European Security","30","1995-04-27","Telcon","166-170","166-169","16","nato:14; partnership for peace:1; european security:1","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf"
"NATO / European Security","48","1997-02-27","Telcon","288-291","288-290","16","nato:3; european security:1; helsinki:10; denver:2","Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf"
"NATO / European Security","51","1997-03-21","Memcon","313-317","313-316","14","nato:9; european security:1; helsinki:2; paris:2","Helsinki Afternoon Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf"
"NATO / European Security","54","1997-06-20","Memcon","334-342","334-341","14","nato:4; european security:1; helsinki:4; paris:3; denver:2","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf"
"NATO / European Security","26","1994-09-28","Memcon","145-150","145-150","12","nato:11; european security:1","Second Clinton/Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf"
"NATO / European Security","38","1996-02-21","Telcon","231-235","231-234","12","nato:9; partnership for peace:1; pfp:1; european security:1","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf"
"NATO / European Security","75","1999-04-25","Telcon","453-465","453-464","12","nato:12","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf"
"NATO / European Security","74","1999-04-19","Telcon","446-452","446-451","11","nato:11","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf"
"NATO / European Security","50","1997-03-21","Memcon","304-312","304-311","10","helsinki:1; paris:7; denver:2","Helsinki Working Lunch with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf"
"NATO / European Security","15","1994-01-13","Memcon","80-90","80-90","9","nato:6; partnership for peace:3","President's dinner with President Yeltsin, January 13/14, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf"
"NATO / European Security","34","1995-09-27","Telcon","202-205","202-204","8","nato:6; european security:2","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf"
"NATO / European Security","65","1998-06-15","Telcon","401-406","401-405","7","nato:7","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf"
"NATO / European Security","13","1993-12-22","Telcon","69-73","69-72","6","nato:5; partnership for peace:1","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf"
"NATO / European Security","21","1994-04-20","Telcon","112-116","112-115","6","nato:6","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf"
"NATO / European Security","33","1995-07-28","Telcon","196-201","196-200","6","nato:6","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf"
"NATO / European Security","37","1996-01-26","Telcon","225-230","225-229","6","nato:6","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf"
"NATO / European Security","52","1997-03-21","Memcon","318-324","318-323","6","nato:2; helsinki:4","Helsinki Private Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf"
"NATO / European Security","72","1998-12-30","Telcon","435-439","435-439","6","nato:5; european security:1","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf"
"NATO / European Security","20","1994-04-10","Telcon","108-111","108-110","5","nato:5","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf"
"NATO / European Security","62","1998-05-17","Memcon","383-391","383-390","5","nato:2; helsinki:1; paris:1; denver:1","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf"
"NATO / European Security","23","1994-07-05","Telcon","122-125","122-124","4","nato:2; partnership for peace:2","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf"
"NATO / European Security","82","1999-06-20","Memcon","494-503","494-502","4","nato:1; helsinki:2; paris:1","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf"
"NATO / European Security","2","1993-02-10","Telcon","5-8","5-7","3","nato:3","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf"
"NATO / European Security","14","1994-01-13","Memcon","74-79","74-79","3","nato:2; partnership for peace:1","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf"
